tweet_id,rating_numerator,rating_denominator,favorite_count,retweet_count,dog_breed,confidence
868622495443632128,13,10,25359,4937,Labrador_retriever,0.868107
868552278524837888,12,10,9575,1936,whippet,0.378151
867900495410671616,12,10,23006,3898,Labrador_retriever,0.522644
867774946302451713,13,10,32310,6859,Border_collie,0.661953
867421006826221569,12,10,15309,2324,Eskimo_dog,0.6164569999999999
867051520902168576,13,10,30669,7361,Samoyed,0.471403
866686824827068416,12,10,18367,3269,flat-coated_retriever,0.51473
866450705531457537,13,10,116425,32954,French_bulldog,0.905334
866334964761202691,12,10,49945,13349,Samoyed,0.984086
865718153858494464,13,10,24467,5268,golden_retriever,0.673664
865359393868664832,13,10,25264,4697,Chesapeake_Bay_retriever,0.832435
865006731092295680,13,10,26741,7220,Pembroke,0.989882
864279568663928832,12,10,13923,2838,bull_mastiff,0.668613
864197398364647424,13,10,28654,8328,golden_retriever,0.945905
863553081350529029,13,10,14598,3941,Eskimo_dog,0.41333
863432100342583297,12,10,22751,4944,Staffordshire_bullterrier,0.690517
863079547188785154,14,10,8408,1047,Lakeland_terrier,0.275242
863062471531167744,13,10,8101,2288,French_bulldog,0.935804
862831371563274240,13,10,18385,4855,Australian_terrier,0.207281
862722525377298433,11,10,16370,3340,basset,0.39333
862096992088072192,13,10,71153,21839,chow,0.677589
861383897657036800,13,10,34587,10117,Cardigan,0.771008
861288531465048066,13,10,16484,3911,Bouvier_des_Flandres,0.0826102
861005113778896900,12,10,16029,3610,German_shepherd,0.507951
860563773140209665,13,10,7197,2032,Cardigan,0.583936
860524505164394496,13,10,22700,5033,Bedlington_terrier,0.286558
859924526012018688,12,10,18842,3898,French_bulldog,0.254587
859851578198683649,13,10,14838,3334,Labrador_retriever,0.899086
859607811541651456,13,10,17922,1487,golden_retriever,0.8955290000000001
859196978902773760,12,10,86556,28644,malamute,0.216163
858843525470990336,13,10,15023,3320,golden_retriever,0.57812
858471635011153920,13,10,20735,4629,Pembroke,0.987407
858107933456039936,12,10,15201,2771,golden_retriever,0.863874
857989990357356544,12,10,15536,2479,French_bulldog,0.43258
857746408056729600,13,10,33091,10146,Labrador_retriever,0.919832
857393404942143489,13,10,5693,1572,malamute,0.8415969999999999
857263160327368704,13,10,19394,4323,Samoyed,0.998021
857029823797047296,12,10,18239,3813,golden_retriever,0.968623
856543823941562368,12,10,15816,2768,Boston_bull,0.30691
856526610513747968,14,10,11500,1801,Old_English_sheepdog,0.798481
856282028240666624,14,10,26902,6041,Chihuahua,0.8765430000000001
855851453814013952,13,10,44423,17347,flat-coated_retriever,0.321676
855459453768019968,12,10,29009,7924,Blenheim_spaniel,0.389513
854732716440526848,12,10,22159,5857,Pembroke,0.6955479999999999
854482394044301312,13,10,28576,6646,Chihuahua,0.26024200000000003
854365224396361728,13,10,18419,4538,Pembroke,0.90708
